k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2678,1377,182.17008501938307,182.57472001984016,183.44683291148382,614851,0.3217505543966423,12,0.612823796
2679,1377,182.20470330216378,182.58790085037379,183.48108043029455,615549,0.24497866312686423,12,0.630939627
2680,1377,182.2438753367145,182.60415783366835,183.51532155785407,616258,0.3217505543966423,13,0.626627228
2681,1377,182.27849361949518,182.62041481696292,183.54955629773923,616957,0.24497866312686423,11,0.627162699
2682,1377,182.30905856970566,182.6366718002575,183.58378465352354,617649,0.24497866312686423,11,0.628246421
2683,1377,182.33632214068774,182.65292878355206,183.61800662877718,618332,0.24497866312686423,10,0.624684045
2684,1377,182.36040825271263,182.66610961408574,183.65222222706703,619022,0.24497866312686423,10,0.607727365
2685,1377,182.39958028726335,182.6792904446194,183.68643145195668,619716,0.3217505543966423,11,0.600442187
2686,1379,182.43419857004403,182.7042558711912,183.7206343070063,620958,0.24497866312686423,11,0.604631736
2687,1378,182.47337060459475,182.72922129776302,183.75483079577282,619885,0.3217505543966423,11,0.631542285
2688,1378,182.50798888737543,182.75418672433483,183.78902092180985,618856,0.24497866312686423,10,0.628116518
2689,1378,182.53855383758594,182.77915215090664,183.8232046886677,617065,0.24497866312686423,11,0.633140106
2690,1377,182.57772587213665,182.79233298144032,183.85738209989333,617594,0.3217505543966423,12,0.625876789
2691,1376,182.6030489398319,182.80551381197398,183.89155315903048,617959,0.24497866312686423,8,0.63124644
2692,1377,182.6422209743826,182.82177079526855,183.92571786961955,619284,0.3217505543966423,9,0.635420972
2693,1378,182.67683925716335,182.8380277785631,183.9598762351977,620633,0.24497866312686423,9,0.632882464
2694,1377,182.71601129171407,182.85779261640016,183.99402825929872,620381,0.3217505543966423,10,0.631014009
2695,1376,182.75062957449475,182.87755745423723,184.02817394545318,620298,0.24497866312686423,9,0.62830488
2696,1375,182.7811945247052,182.8973222920743,184.06231329718838,620083,0.24497866312686423,9,0.624859208
2697,1376,182.82036655925592,182.9170871299114,184.09644631802834,621330,0.3217505543966423,10,0.641330005
2698,1374,182.85498484203666,182.9368519677485,184.1305730114938,619887,0.24497866312686423,10,0.632671196
2699,1375,182.89415687658737,182.9566168055856,184.16469338110227,621190,0.3217505543966423,11,0.635947015
2700,1374,182.92210857831466,182.97638164342268,184.19880743036794,621799,0.24497866312686423,10,0.633840891
2701,1373,182.94619469033952,182.99614648125976,184.2329151628018,621509,0.24497866312686423,10,0.633934688
2702,1374,182.98536672489024,183.02023259328465,184.2670165819116,622717,0.3217505543966423,11,0.634482451
2703,1375,183.0106897925855,183.0443187053095,184.3011116912018,623933,0.24497866312686423,8,0.639180231
2704,1375,183.04986182713623,183.06840481733437,184.33520049417368,624592,0.3217505543966423,9,0.637873717
2705,1375,183.08448010991694,183.09249092935923,184.36928299432518,625276,0.24497866312686423,9,0.616095639
2706,1375,183.11504506012741,183.11657704138412,184.4033591951511,625950,0.24497866312686423,8,0.612261162
2707,1375,183.14066315340906,183.14066315340898,184.437429100143,626630,0.24497866312686423,8,0.614302123
2708,1376,183.16474926543393,183.16474926543387,184.4714927127892,627939,0.24497866312686423,8,0.670615286
2709,1377,183.18883537745882,183.18883537745873,184.5055500365748,629249,0.24497866312686423,8,0.643399184
2710,1377,183.22800741200953,183.23853958276527,184.53960107498162,628940,0.3217505543966423,9,0.642446134
2711,1377,183.26262569479024,183.28824378807184,184.57364583148842,628876,0.24497866312686423,9,0.635798674
2712,1376,183.30179772934096,183.33297405248072,184.60768430957057,628310,0.3217505543966423,10,0.623498499
2713,1375,183.33641601212167,183.3777043168896,184.64171651270044,627828,0.24497866312686423,9,0.642932576
2714,1375,183.36698096233212,183.42243458129855,184.675742444347,627762,0.24497866312686423,9,0.60526373
2715,1375,183.40615299688284,183.46716484570743,184.7097621079762,627743,0.3217505543966423,10,0.636409503
2716,1371,183.44077127966355,183.51686905101394,184.74377550705063,624834,0.24497866312686423,10,0.626810077
2717,1372,183.47994331421427,183.5665732563205,184.7777826450298,623976,0.3217505543966423,11,0.615689375
2718,1370,183.51456159699498,183.61627746162708,184.81178352537,621817,0.24497866312686423,10,0.628355168
2719,1372,183.54512654720543,183.66598166693365,184.84577815152443,621828,0.24497866312686423,9,0.612551352
2720,1372,183.58429858175614,183.71071193134253,184.879766526943,623044,0.3217505543966423,11,0.616334636
2721,1371,183.61891686453686,183.7554421957514,184.91374865507245,622567,0.24497866312686423,11,0.603935636
2722,1370,183.65808889908757,183.8001724601603,184.94772453935644,623114,0.3217505543966423,12,0.623215435
2723,1369,183.6927071818683,183.84490272456918,184.9816941832354,623257,0.24497866312686423,10,0.619532373
2724,1369,183.72327213207873,183.8946069298757,185.01565759014665,623194,0.24497866312686423,10,0.619843864
2725,1369,183.75053570306085,183.9443111351822,185.0496147635243,623078,0.24497866312686423,9,0.616722045
2726,1370,183.77462181508574,183.96839724720712,185.08356570679933,624277,0.24497866312686423,9,0.619803427
2727,1371,183.81379384963645,183.99248335923198,185.1175104233996,625490,0.3217505543966423,10,0.623526507
2728,1371,183.84841213241717,184.01656947125684,185.1514489167498,626171,0.24497866312686423,10,0.631385358
2729,1371,183.88758416696788,184.0406555832817,185.18538119027156,626858,0.3217505543966423,11,0.629417171
2730,1371,183.92220244974857,184.06474169530657,185.2193072473832,627505,0.24497866312686423,10,0.619308744
2731,1371,183.95276739995904,184.08882780733143,185.2532270915001,628181,0.24497866312686423,10,0.635431384
2732,1372,183.99193943450976,184.1129139193563,185.28714072603435,629469,0.3217505543966423,11,0.628928145
2733,1373,184.02655771729047,184.1370000313812,185.32104815439507,630737,0.24497866312686423,11,0.632415512
2734,1377,184.0657297518412,184.1834442039805,185.35494937998817,633582,0.3217505543966423,12,0.624384504
2735,1381,184.10034803462187,184.22988837657985,185.38884440621646,636467,0.24497866312686423,11,0.642273979
2736,1381,184.13091298483235,184.27633254917916,185.42273323647964,637152,0.24497866312686423,10,0.643470215
2737,1382,184.17008501938307,184.32277672177852,185.45661587417433,638384,0.3217505543966423,12,0.650478194
2738,1382,184.20470330216378,184.3692208943779,185.49049232269405,639080,0.24497866312686423,12,0.637840896
2739,1383,184.2438753367145,184.41566506697723,185.52436258542912,640362,0.3217505543966423,13,0.655540893
2740,1387,184.27849361949518,184.46210923957656,185.5582266657669,643382,0.24497866312686423,11,0.651376279
2741,1391,184.30905856970566,184.5085534121759,185.59208456709163,646629,0.24497866312686423,11,0.651163893
2742,1390,184.33632214068774,184.52173424270956,185.6259362927844,645615,0.24497866312686423,10,0.650292348
2743,1389,184.36040825271263,184.5349150732432,185.65978184622327,644702,0.24497866312686423,10,0.649335807
2744,1389,184.39958028726335,184.5480959037769,185.69362123078318,645386,0.3217505543966423,11,0.655633574
2745,1389,184.43419857004406,184.56127673431055,185.72745444983605,646052,0.24497866312686423,11,0.628534384
2746,1389,184.47337060459475,184.5744575648442,185.76128150675072,646753,0.3217505543966423,11,0.656981783
